id,symbol,name,price_usd,market_cap,market_cap_rank,total_volume,price_change_24h,change_24h_percent,circulating_supply,last_updated,scraped_at
bitcoin,BTC,Bitcoin,90244.0,1799560580410,1,58847260514,-2456.55,-2.65,19960543.0,2025-12-11T07:52:20.821Z,2025-12-11 12:53:09
ethereum,ETH,Ethereum,3202.4,386282238820,2,36115684989,-120.49,-3.63,120695175.5401935,2025-12-11T07:52:20.848Z,2025-12-11 12:53:09
tether,USDT,Tether,1.0,186096059691,3,101950153413,0.0,0.0,186071446629.2715,2025-12-11T07:52:20.211Z,2025-12-11 12:53:09
ripple,XRP,XRP,2.01,121089207758,4,4155984676,-0.08,-3.69,60331635327.0,2025-12-11T07:52:18.568Z,2025-12-11 12:53:09
binancecoin,BNB,BNB,867.16,119381645140,5,2000981781,-26.51,-2.97,137735671.43,2025-12-11T07:52:20.804Z,2025-12-11 12:53:09
usd-coin,USDC,USDC,1.0,78192360679,6,15985631611,-0.0,-0.08,78279129959.47693,2025-12-11T07:52:20.786Z,2025-12-11 12:53:09
solana,SOL,Solana,130.89,73528285989,7,7379824325,-8.14,-5.86,561778687.9384614,2025-12-11T07:52:18.935Z,2025-12-11 12:53:09
staked-ether,STETH,Lido Staked Ether,3202.59,27940547779,8,41784951,-120.48,-3.63,8729914.106233189,2025-12-11T07:52:18.944Z,2025-12-11 12:53:09
tron,TRX,TRON,0.28,26411500798,9,692088108,-0.0,-0.51,94681241118.91928,2025-12-11T07:52:20.242Z,2025-12-11 12:53:09
dogecoin,DOGE,Dogecoin,0.14,21010827646,10,1717559801,-0.01,-5.68,152114046383.7052,2025-12-11T07:52:24.525Z,2025-12-11 12:53:09
cardano,ADA,Cardano,0.43,15599208896,11,1105251601,-0.04,-7.6,36642122600.96213,2025-12-11T07:52:23.834Z,2025-12-11 12:53:09
figure-heloc,FIGR_HELOC,Figure Heloc,1.02,14420114242,12,19645313,-0.01,-1.25,14130114829.91,2025-12-11T06:25:03.023Z,2025-12-11 12:53:09
whitebit,WBT,WhiteBIT Coin,61.4,13163494981,13,171627605,-0.33,-0.53,214372548.0,2025-12-11T07:52:20.619Z,2025-12-11 12:53:09
wrapped-steth,WSTETH,Wrapped stETH,3914.43,12207602559,14,54023790,-144.56,-3.56,3120042.73247505,2025-12-11T07:52:21.159Z,2025-12-11 12:53:09
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,3476.77,11350611165,15,14508375,-131.31,-3.64,3264467.133361774,2025-12-11T07:52:20.783Z,2025-12-11 12:53:09
wrapped-bitcoin,WBTC,Wrapped Bitcoin,90056.0,11239942499,16,307875020,-2550.49,-2.75,124963.48883569,2025-12-11T07:52:21.251Z,2025-12-11 12:53:09
bitcoin-cash,BCH,Bitcoin Cash,559.03,11163741641,17,429732758,-5.28,-0.94,19965109.27165078,2025-12-11T07:52:22.932Z,2025-12-11 12:53:09
usds,USDS,USDS,1.0,9687863202,18,20958833,-0.0,-0.0,9694304857.677422,2025-12-11T07:52:20.135Z,2025-12-11 12:53:09
chainlink,LINK,Chainlink,13.54,9432169719,19,884455935,-0.62,-4.35,696849970.4525868,2025-12-11T07:52:23.995Z,2025-12-11 12:53:09
wrapped-eeth,WEETH,Wrapped eETH,3470.8,9284984430,20,8552535,-128.36,-3.57,2675168.154189344,2025-12-11T07:52:20.993Z,2025-12-11 12:53:09
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),1.0,8982034188,21,1337344328,-0.0,-0.02,8984992892.453934,2025-12-11T07:52:23.323Z,2025-12-11 12:53:09
leo-token,LEO,LEO Token,9.46,8720669863,22,733033,-0.08,-0.8,921930007.9,2025-12-11T07:52:26.708Z,2025-12-11 12:53:09
weth,WETH,WETH,3204.56,8308440172,23,83962686,-118.63,-3.57,2596109.315770367,2025-12-11T07:52:21.354Z,2025-12-11 12:53:09
stellar,XLM,Stellar,0.24,7775787199,24,180400459,-0.01,-4.08,32350064290.17691,2025-12-11T07:52:19.292Z,2025-12-11 12:53:09
hyperliquid,HYPE,Hyperliquid,27.95,7569818287,25,297728836,-1.46,-4.95,270772999.4341414,2025-12-11T07:52:26.058Z,2025-12-11 12:53:09
monero,XMR,Monero,399.8,7376003406,26,180303158,3.73,0.94,18446744.07370955,2025-12-11T07:52:27.651Z,2025-12-11 12:53:09
zcash,ZEC,Zcash,419.0,6882308101,27,988695429,-20.72,-4.71,16435031.4155448,2025-12-11T07:52:21.737Z,2025-12-11 12:53:09
ethena-usde,USDE,Ethena USDe,1.0,6556013866,28,200294439,0.0,0.02,6560117736.456225,2025-12-11T07:52:24.853Z,2025-12-11 12:53:09
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,90266.0,6551566731,29,565533917,-2426.02,-2.62,72643.84410501,2025-12-11T07:52:23.844Z,2025-12-11 12:53:09
litecoin,LTC,Litecoin,80.93,6199752524,30,612387653,-3.24,-3.85,76610889.48347135,2025-12-11T07:52:27.071Z,2025-12-11 12:53:09
